,ge,tc,tl,tf,ln
0,0,0.001,0.001,0.0,99.0
1,1,0.0,0.001,0.0,99.0
2,2,0.0,0.002,0.0,99.0
3,3,0.0,0.001,0.0,99.0
4,4,0.0,0.0,0.0,99.0
5,5,0.0,0.0,0.0,99.0
6,6,0.001,0.001,0.001,99.0
7,7,0.001,0.0,0.003,99.0
8,8,0.002,0.002,0.004,99.0
9,9,0.003,0.005,0.005,99.0
10,10,0.007,0.006,0.008,99.0
11,11,0.014,0.01,0.009000000000000001,99.0
12,12,0.014,0.01,0.008,99.0
13,13,0.016,0.01,0.005,99.0
14,14,0.017,0.011000000000000001,0.006,99.0
15,15,0.015000000000000001,0.009000000000000001,0.003,99.0
16,16,0.012,0.008,0.005,99.0
17,17,0.015000000000000001,0.006,0.01,99.0
18,18,0.02,0.004,0.008,99.0
19,19,0.018000000000000002,0.005,0.005,99.0
20,20,0.022000000000000002,0.004,0.009000000000000001,99.0
21,21,0.021,0.007,0.005,99.0
22,22,0.02,0.003,0.006,99.0
23,23,0.02,0.003,0.008,99.0
24,24,0.026000000000000002,0.002,0.007,99.0
25,25,0.023,0.001,0.002,99.0
26,26,0.018000000000000002,0.001,0.002,99.0
27,27,0.018000000000000002,0.001,0.003,99.0
28,28,0.025,0.002,0.004,99.0
29,29,0.028,0.001,0.005,99.0
30,30,0.028,0.002,0.005,99.0
31,31,0.026000000000000002,0.002,0.007,99.0
32,32,0.032,0.001,0.011000000000000001,99.0
33,33,0.036000000000000004,0.001,0.006,99.0
34,34,0.039,0.001,0.01,99.0
35,35,0.028,0.0,0.01,99.0
36,36,0.031000000000000003,0.001,0.01,99.0
37,37,0.030000000000000002,0.0,0.018000000000000002,99.0
38,38,0.026000000000000002,0.0,0.019,99.0
39,39,0.027000000000000003,0.0,0.012,99.0
40,40,0.027000000000000003,0.0,0.016,99.0
41,41,0.034,0.0,0.011000000000000001,99.0
42,42,0.039,0.0,0.009000000000000001,99.0
43,43,0.042,0.002,0.013000000000000001,99.0
44,44,0.043000000000000003,0.001,0.011000000000000001,99.0
45,45,0.037000000000000005,0.006,0.016,99.0
46,46,0.038,0.004,0.018000000000000002,99.0
47,47,0.041,0.003,0.018000000000000002,99.0
48,48,0.039,0.003,0.02,99.0
49,49,0.044000000000000004,0.001,0.014,99.0
50,50,0.035,0.0,0.02,99.0
51,51,0.035,0.0,0.017,99.0
52,52,0.035,0.0,0.014,99.0
53,53,0.042,0.0,0.02,99.0
54,54,0.047,0.001,0.025,99.0
55,55,0.053000000000000005,0.001,0.024,99.0
56,56,0.05,0.002,0.023,99.0
57,57,0.058,0.004,0.02,99.0
58,58,0.061000000000000006,0.004,0.025,99.0
59,59,0.061000000000000006,0.007,0.025,99.0
60,60,0.060000000000000005,0.009000000000000001,0.026000000000000002,99.0
61,61,0.069,0.008,0.027000000000000003,99.0
62,62,0.061000000000000006,0.008,0.029,99.0
63,63,0.069,0.007,0.031000000000000003,99.0
64,64,0.07100000000000001,0.009000000000000001,0.028,99.0
65,65,0.081,0.007,0.027000000000000003,99.0
66,66,0.081,0.007,0.022000000000000002,99.0
67,67,0.085,0.006,0.023,99.0
68,68,0.09200000000000001,0.007,0.026000000000000002,99.0
69,69,0.09100000000000001,0.006,0.021,99.0
70,70,0.093,0.008,0.027000000000000003,99.0
71,71,0.098,0.009000000000000001,0.018000000000000002,99.0
72,72,0.095,0.008,0.013000000000000001,99.0
73,73,0.09000000000000001,0.015000000000000001,0.016,99.0
74,74,0.094,0.024,0.016,99.0
75,75,0.096,0.019,0.018000000000000002,99.0
76,76,0.10300000000000001,0.027000000000000003,0.015000000000000001,99.0
77,77,0.10800000000000001,0.030000000000000002,0.013000000000000001,99.0
78,78,0.098,0.02,0.012,99.0
79,79,0.099,0.016,0.015000000000000001,99.0
80,80,0.101,0.019,0.013000000000000001,99.0
81,81,0.101,0.018000000000000002,0.011000000000000001,99.0
82,82,0.098,0.014,0.008,99.0
83,83,0.097,0.012,0.008,99.0
84,84,0.095,0.01,0.004,99.0
85,85,0.099,0.013000000000000001,0.007,99.0
86,86,0.09100000000000001,0.011000000000000001,0.007,99.0
87,87,0.098,0.007,0.007,99.0
88,88,0.1,0.004,0.008,99.0
89,89,0.10600000000000001,0.005,0.008,99.0
90,90,0.113,0.006,0.011000000000000001,99.0
91,91,0.111,0.008,0.011000000000000001,99.0
92,92,0.112,0.007,0.009000000000000001,99.0
93,93,0.114,0.009000000000000001,0.014,99.0
94,94,0.12100000000000001,0.012,0.02,99.0
95,95,0.126,0.014,0.019,99.0
96,96,0.129,0.005,0.021,99.0
97,97,0.13,0.004,0.019,99.0
98,98,0.131,0.002,0.018000000000000002,99.0
99,99,0.131,0.002,0.019,99.0
100,100,0.129,0.002,0.021,99.0
101,101,0.13,0.004,0.024,99.0
102,102,0.125,0.003,0.026000000000000002,99.0
103,103,0.127,0.003,0.030000000000000002,99.0
104,104,0.12400000000000001,0.005,0.027000000000000003,99.0
105,105,0.12300000000000001,0.003,0.025,99.0
106,106,0.133,0.003,0.034,99.0
107,107,0.138,0.002,0.036000000000000004,99.0
108,108,0.14,0.003,0.04,99.0
109,109,0.14700000000000002,0.0,0.041,99.0
110,110,0.156,0.0,0.034,99.0
111,111,0.158,0.0,0.033,99.0
112,112,0.169,0.001,0.034,99.0
113,113,0.17,0.0,0.035,99.0
114,114,0.17600000000000002,0.001,0.038,99.0
115,115,0.17600000000000002,0.001,0.043000000000000003,99.0
116,116,0.169,0.001,0.036000000000000004,99.0
117,117,0.167,0.003,0.036000000000000004,99.0
118,118,0.159,0.004,0.047,99.0
119,119,0.166,0.003,0.046,99.0
120,120,0.166,0.002,0.048,99.0
121,121,0.168,0.002,0.044000000000000004,99.0
122,122,0.17300000000000001,0.003,0.035,99.0
123,123,0.18100000000000002,0.004,0.023,99.0
124,124,0.18400000000000002,0.001,0.02,99.0
125,125,0.18400000000000002,0.001,0.02,99.0
126,126,0.18000000000000002,0.003,0.025,99.0
127,127,0.17700000000000002,0.002,0.028,99.0
128,128,0.18000000000000002,0.003,0.035,99.0
129,129,0.17500000000000002,0.001,0.034,99.0
130,130,0.17600000000000002,0.001,0.036000000000000004,99.0
131,131,0.18000000000000002,0.001,0.038,99.0
132,132,0.17800000000000002,0.001,0.04,99.0
133,133,0.17900000000000002,0.002,0.044000000000000004,99.0
134,134,0.18100000000000002,0.002,0.047,99.0
135,135,0.17800000000000002,0.0,0.052000000000000005,99.0
136,136,0.17400000000000002,0.0,0.055,99.0
137,137,0.17300000000000001,0.001,0.058,99.0
138,138,0.17500000000000002,0.001,0.061000000000000006,99.0
139,139,0.17,0.004,0.064,99.0
140,140,0.18300000000000002,0.003,0.066,99.0
141,141,0.194,0.001,0.077,99.0
142,142,0.198,0.002,0.078,99.0
143,143,0.20400000000000001,0.004,0.076,99.0
144,144,0.202,0.004,0.07500000000000001,99.0
145,145,0.21000000000000002,0.004,0.07300000000000001,99.0
146,146,0.21200000000000002,0.006,0.077,99.0
147,147,0.21200000000000002,0.009000000000000001,0.081,99.0
148,148,0.20500000000000002,0.007,0.079,99.0
149,149,0.19000000000000003,0.008,0.07500000000000001,99.0
150,150,0.18700000000000003,0.01,0.069,99.0
151,151,0.198,0.007,0.065,99.0
152,152,0.202,0.005,0.057,99.0
153,153,0.193,0.007,0.055,99.0
154,154,0.195,0.009000000000000001,0.045000000000000005,99.0
155,155,0.19000000000000003,0.012,0.041,99.0
156,156,0.17600000000000002,0.011000000000000001,0.04,99.0
157,157,0.17700000000000002,0.012,0.030000000000000002,99.0
158,158,0.17400000000000002,0.01,0.027000000000000003,99.0
159,159,0.165,0.014,0.030000000000000002,99.0
160,160,0.171,0.017,0.036000000000000004,99.0
161,161,0.17,0.019,0.037000000000000005,99.0
162,162,0.167,0.016,0.041,99.0
163,163,0.158,0.016,0.046,99.0
164,164,0.155,0.013000000000000001,0.048,99.0
165,165,0.164,0.018000000000000002,0.054000000000000006,99.0
166,166,0.168,0.028,0.056,99.0
167,167,0.166,0.035,0.054000000000000006,99.0
168,168,0.17900000000000002,0.044000000000000004,0.056,99.0
