,ge,tc,tl,tf,ln
0,0,0.0,0.0,0.0,99.0
1,1,0.0,0.001,0.001,99.0
2,2,0.002,0.001,0.001,99.0
3,3,0.004,0.001,0.002,99.0
4,4,0.005,0.001,0.0,99.0
5,5,0.005,0.0,0.0,99.0
6,6,0.0030000000000000005,0.0,0.0,99.0
7,7,0.006,0.002,0.0,99.0
8,8,0.006,0.002,0.0,99.0
9,9,0.006,0.0030000000000000005,0.0,99.0
10,10,0.006999999999999999,0.004,0.001,99.0
11,11,0.014000000000000002,0.005,0.0030000000000000005,99.0
12,12,0.013000000000000003,0.0030000000000000005,0.0030000000000000005,99.0
13,13,0.015,0.001,0.0030000000000000005,99.0
14,14,0.014000000000000002,0.002,0.0030000000000000005,99.0
15,15,0.014000000000000002,0.0030000000000000005,0.002,99.0
16,16,0.014000000000000004,0.004,0.001,99.0
17,17,0.017,0.005,0.002,99.0
18,18,0.014000000000000002,0.005,0.002,99.0
19,19,0.016,0.005,0.004,99.0
20,20,0.019000000000000003,0.0030000000000000005,0.006000000000000001,99.0
21,21,0.024,0.004,0.006000000000000001,99.0
22,22,0.027999999999999997,0.009000000000000001,0.01,99.0
23,23,0.028000000000000004,0.008,0.014000000000000002,99.0
24,24,0.030000000000000006,0.008,0.018000000000000002,99.0
25,25,0.030000000000000006,0.01,0.019000000000000003,99.0
26,26,0.033,0.015,0.025,99.0
27,27,0.03900000000000001,0.014000000000000002,0.027000000000000003,99.0
28,28,0.04,0.013000000000000003,0.030000000000000006,99.0
29,29,0.044000000000000004,0.019,0.031,99.0
30,30,0.048999999999999995,0.023000000000000003,0.033,99.0
31,31,0.043,0.021,0.026000000000000006,99.0
32,32,0.04300000000000001,0.02,0.025000000000000005,99.0
33,33,0.045,0.016000000000000004,0.019000000000000003,99.0
34,34,0.04,0.02,0.013000000000000003,99.0
35,35,0.037,0.021,0.013000000000000001,99.0
36,36,0.037000000000000005,0.02,0.011000000000000001,99.0
37,37,0.037000000000000005,0.028000000000000004,0.005,99.0
38,38,0.038000000000000006,0.029000000000000005,0.004,99.0
39,39,0.03900000000000001,0.034,0.005,99.0
40,40,0.04300000000000001,0.036000000000000004,0.0030000000000000005,99.0
41,41,0.047,0.037000000000000005,0.0030000000000000005,99.0
42,42,0.05299999999999999,0.038000000000000006,0.0030000000000000005,99.0
43,43,0.061999999999999986,0.044,0.004,99.0
44,44,0.06499999999999999,0.04699999999999999,0.0030000000000000005,99.0
45,45,0.063,0.046,0.004,99.0
46,46,0.057,0.049,0.004,99.0
47,47,0.05199999999999999,0.056999999999999995,0.0030000000000000005,99.0
48,48,0.05199999999999999,0.055999999999999994,0.0030000000000000005,99.0
49,49,0.069,0.05399999999999999,0.006000000000000001,99.0
50,50,0.073,0.04799999999999999,0.004,99.0
51,51,0.071,0.04799999999999999,0.004,99.0
52,52,0.08599999999999998,0.044000000000000004,0.006000000000000001,99.0
53,53,0.08,0.04299999999999999,0.005,99.0
54,54,0.08,0.039,0.005,99.0
55,55,0.081,0.038000000000000006,0.006000000000000001,99.0
56,56,0.088,0.038000000000000006,0.005,99.0
57,57,0.08299999999999999,0.04299999999999999,0.007000000000000001,99.0
58,58,0.08299999999999999,0.043999999999999984,0.005,99.0
59,59,0.087,0.043,0.004,99.0
60,60,0.08999999999999998,0.048999999999999995,0.004,99.0
61,61,0.08699999999999998,0.04799999999999999,0.004,99.0
62,62,0.09399999999999999,0.040999999999999995,0.005,99.0
63,63,0.09399999999999999,0.038000000000000006,0.0030000000000000005,99.0
64,64,0.09999999999999998,0.040999999999999995,0.0030000000000000005,99.0
65,65,0.09699999999999999,0.033,0.007000000000000001,99.0
66,66,0.09599999999999997,0.032,0.009000000000000001,99.0
