,ge,tc,tl,tf,ln
0,0,0.001,0.001,0.002,99.0
1,1,0.001,0.0030000000000000005,0.0,99.0
2,2,0.001,0.0030000000000000005,0.0,99.0
3,3,0.0030000000000000005,0.006000000000000001,0.0,99.0
4,4,0.002,0.007000000000000001,0.0,99.0
5,5,0.0030000000000000005,0.01,0.0,99.0
6,6,0.005,0.016,0.001,99.0
7,7,0.005,0.02,0.001,99.0
8,8,0.006000000000000001,0.024,0.0,99.0
9,9,0.006,0.025,0.0,99.0
10,10,0.004,0.034,0.001,99.0
11,11,0.008,0.032,0.002,99.0
12,12,0.006000000000000001,0.026000000000000006,0.002,99.0
13,13,0.008,0.03,0.002,99.0
14,14,0.005,0.027999999999999997,0.0030000000000000005,99.0
15,15,0.008,0.035,0.01,99.0
16,16,0.0030000000000000005,0.037000000000000005,0.007000000000000001,99.0
17,17,0.0030000000000000005,0.040999999999999995,0.012000000000000002,99.0
18,18,0.005,0.03900000000000001,0.018000000000000002,99.0
19,19,0.007000000000000001,0.034,0.019000000000000003,99.0
20,20,0.01,0.033,0.027000000000000003,99.0
21,21,0.009000000000000001,0.032,0.026000000000000002,99.0
22,22,0.009000000000000001,0.033,0.026000000000000006,99.0
23,23,0.011000000000000001,0.032,0.034,99.0
24,24,0.01,0.037000000000000005,0.034,99.0
25,25,0.011000000000000001,0.035,0.033,99.0
26,26,0.013000000000000001,0.034,0.04,99.0
27,27,0.018000000000000002,0.038,0.03900000000000001,99.0
28,28,0.019000000000000003,0.04,0.034,99.0
29,29,0.024000000000000004,0.039,0.034,99.0
30,30,0.025,0.034,0.037000000000000005,99.0
31,31,0.027999999999999997,0.035,0.038,99.0
32,32,0.031000000000000007,0.037000000000000005,0.04,99.0
33,33,0.029000000000000005,0.03300000000000001,0.040999999999999995,99.0
34,34,0.030000000000000006,0.033,0.037000000000000005,99.0
35,35,0.034,0.034,0.033,99.0
36,36,0.037000000000000005,0.030000000000000006,0.035,99.0
37,37,0.036000000000000004,0.035,0.034,99.0
38,38,0.037000000000000005,0.035,0.03,99.0
39,39,0.04,0.03300000000000001,0.027000000000000003,99.0
40,40,0.046,0.032,0.027999999999999997,99.0
41,41,0.04299999999999999,0.034,0.027000000000000003,99.0
42,42,0.037000000000000005,0.04100000000000001,0.028000000000000008,99.0
43,43,0.038000000000000006,0.038000000000000006,0.019000000000000003,99.0
44,44,0.041999999999999996,0.031000000000000007,0.017,99.0
45,45,0.041999999999999996,0.032,0.014000000000000002,99.0
46,46,0.04299999999999999,0.038,0.019000000000000003,99.0
47,47,0.04299999999999999,0.040999999999999995,0.024,99.0
48,48,0.044,0.051,0.029000000000000005,99.0
49,49,0.055,0.04999999999999999,0.026000000000000002,99.0
50,50,0.067,0.04799999999999999,0.02,99.0
51,51,0.06399999999999999,0.05299999999999999,0.022000000000000002,99.0
52,52,0.06999999999999999,0.06,0.024000000000000004,99.0
53,53,0.06899999999999999,0.065,0.028000000000000004,99.0
54,54,0.06699999999999999,0.063,0.03,99.0
55,55,0.07199999999999998,0.065,0.03,99.0
56,56,0.08199999999999999,0.06299999999999999,0.034,99.0
57,57,0.08999999999999998,0.055999999999999994,0.029000000000000005,99.0
58,58,0.09499999999999999,0.054000000000000006,0.028000000000000004,99.0
59,59,0.092,0.061000000000000006,0.030000000000000006,99.0
60,60,0.092,0.064,0.03900000000000001,99.0
61,61,0.09899999999999999,0.07699999999999999,0.036000000000000004,99.0
62,62,0.09499999999999999,0.071,0.03900000000000001,99.0
63,63,0.09699999999999998,0.06799999999999999,0.036000000000000004,99.0
64,64,0.09399999999999999,0.075,0.041999999999999996,99.0
65,65,0.09399999999999999,0.08900000000000001,0.04799999999999999,99.0
66,66,0.102,0.09000000000000002,0.04,99.0
67,67,0.11399999999999999,0.09700000000000002,0.038000000000000006,99.0
68,68,0.11399999999999999,0.09699999999999999,0.038000000000000006,99.0
69,69,0.126,0.099,0.034,99.0
70,70,0.13,0.09200000000000001,0.030000000000000006,99.0
71,71,0.14200000000000002,0.08299999999999999,0.037000000000000005,99.0
72,72,0.15500000000000003,0.086,0.041999999999999996,99.0
73,73,0.17000000000000004,0.085,0.03900000000000001,99.0
74,74,0.17600000000000005,0.08900000000000001,0.04,99.0
75,75,0.17900000000000005,0.09000000000000002,0.04799999999999999,99.0
76,76,0.17400000000000002,0.09300000000000001,0.046,99.0
77,77,0.17600000000000005,0.09,0.041999999999999996,99.0
78,78,0.17400000000000004,0.084,0.03900000000000001,99.0
79,79,0.18600000000000005,0.08000000000000002,0.043,99.0
80,80,0.19200000000000006,0.064,0.045,99.0
81,81,0.21000000000000005,0.063,0.041999999999999996,99.0
82,82,0.21100000000000002,0.057999999999999996,0.043999999999999984,99.0
83,83,0.22200000000000003,0.05600000000000001,0.04899999999999999,99.0
84,84,0.22300000000000003,0.049,0.04799999999999999,99.0
85,85,0.21300000000000005,0.054000000000000006,0.04499999999999999,99.0
86,86,0.20600000000000004,0.05600000000000001,0.04799999999999999,99.0
87,87,0.20200000000000004,0.052000000000000005,0.04899999999999999,99.0
88,88,0.21300000000000005,0.045,0.05299999999999999,99.0
89,89,0.21200000000000002,0.036000000000000004,0.05799999999999999,99.0
90,90,0.22900000000000006,0.04300000000000001,0.05899999999999998,99.0
