,ge,tc,tf,ln
0,0,0.0,0.0,99.0
1,1,0.001,0.001,99.0
2,2,0.001,0.0,99.0
3,3,0.0,0.0,99.0
4,4,0.0,0.0,99.0
5,5,0.001,0.001,99.0
6,6,0.001,0.004,99.0
7,7,0.0030000000000000005,0.008,99.0
8,8,0.001,0.009000000000000001,99.0
9,9,0.002,0.014000000000000004,99.0
10,10,0.005,0.013000000000000003,99.0
11,11,0.012000000000000002,0.016,99.0
12,12,0.017,0.015,99.0
13,13,0.017,0.021000000000000005,99.0
14,14,0.014000000000000004,0.022000000000000002,99.0
15,15,0.011000000000000001,0.023000000000000003,99.0
16,16,0.013000000000000003,0.029000000000000005,99.0
17,17,0.014000000000000002,0.026000000000000002,99.0
18,18,0.016,0.021,99.0
19,19,0.014000000000000002,0.023000000000000003,99.0
20,20,0.011000000000000001,0.023000000000000003,99.0
21,21,0.012000000000000002,0.025000000000000005,99.0
22,22,0.01,0.02,99.0
23,23,0.01,0.023000000000000003,99.0
24,24,0.011000000000000001,0.024000000000000004,99.0
25,25,0.011000000000000001,0.027000000000000003,99.0
26,26,0.016,0.024,99.0
27,27,0.013999999999999999,0.030000000000000006,99.0
28,28,0.013999999999999999,0.031,99.0
29,29,0.015,0.033,99.0
30,30,0.014000000000000002,0.031,99.0
31,31,0.019000000000000003,0.036000000000000004,99.0
32,32,0.02,0.033,99.0
33,33,0.021,0.030000000000000006,99.0
34,34,0.016,0.031,99.0
35,35,0.017,0.028999999999999998,99.0
36,36,0.023000000000000003,0.029000000000000005,99.0
37,37,0.026000000000000006,0.026000000000000006,99.0
38,38,0.034,0.032,99.0
39,39,0.038,0.028000000000000004,99.0
40,40,0.040999999999999995,0.03,99.0
41,41,0.046,0.032,99.0
42,42,0.05399999999999999,0.032,99.0
43,43,0.04799999999999999,0.032,99.0
44,44,0.044000000000000004,0.032,99.0
45,45,0.051,0.035,99.0
46,46,0.044,0.040999999999999995,99.0
47,47,0.048999999999999995,0.042,99.0
48,48,0.053999999999999986,0.039,99.0
49,49,0.05199999999999999,0.035,99.0
50,50,0.04799999999999999,0.032,99.0
51,51,0.05,0.033,99.0
52,52,0.051,0.038000000000000006,99.0
53,53,0.053,0.036000000000000004,99.0
54,54,0.055,0.034,99.0
55,55,0.04699999999999999,0.037000000000000005,99.0
56,56,0.04299999999999999,0.043,99.0
57,57,0.03900000000000001,0.038000000000000006,99.0
58,58,0.041999999999999996,0.036000000000000004,99.0
59,59,0.051999999999999984,0.032,99.0
60,60,0.048999999999999995,0.021,99.0
61,61,0.04799999999999999,0.021,99.0
62,62,0.04799999999999999,0.023,99.0
63,63,0.046,0.032,99.0
64,64,0.051,0.038000000000000006,99.0
65,65,0.05399999999999999,0.040999999999999995,99.0
66,66,0.059999999999999984,0.039,99.0
67,67,0.05799999999999999,0.034,99.0
68,68,0.06499999999999999,0.036000000000000004,99.0
69,69,0.06599999999999999,0.038,99.0
70,70,0.06799999999999999,0.038,99.0
71,71,0.06799999999999999,0.038000000000000006,99.0
72,72,0.06599999999999999,0.041999999999999996,99.0
73,73,0.077,0.046,99.0
74,74,0.079,0.04699999999999999,99.0
75,75,0.078,0.045,99.0
76,76,0.073,0.051,99.0
77,77,0.07699999999999999,0.04699999999999999,99.0
78,78,0.07799999999999999,0.04699999999999999,99.0
79,79,0.07099999999999998,0.045,99.0
80,80,0.077,0.037000000000000005,99.0
81,81,0.071,0.038,99.0
82,82,0.07799999999999999,0.034,99.0
83,83,0.078,0.036000000000000004,99.0
84,84,0.07699999999999999,0.036000000000000004,99.0
85,85,0.08399999999999999,0.036000000000000004,99.0
86,86,0.08299999999999999,0.037000000000000005,99.0
