,ge,tc,tl,tf,ln,dn
0,0,0.0,0.0,0.0,0.0,99.0
1,1,0.0,0.0,0.0,99.0,99.0
2,2,0.0,0.0,0.0,99.0,99.0
3,3,0.002,0.001,0.001,99.0,99.0
4,4,0.004,0.002,0.005,99.0,99.0
5,5,0.004,0.0030000000000000005,0.0030000000000000005,99.0,99.0
6,6,0.0030000000000000005,0.004,0.004,99.0,99.0
7,7,0.0030000000000000005,0.0030000000000000005,0.002,99.0,99.0
8,8,0.004,0.0030000000000000005,0.005,99.0,99.0
9,9,0.0030000000000000005,0.0030000000000000005,0.0030000000000000005,99.0,99.0
10,10,0.005,0.001,0.005,99.0,99.0
11,11,0.005,0.002,0.002,99.0,99.0
12,12,0.007000000000000001,0.002,0.004,99.0,99.0
13,13,0.006999999999999999,0.002,0.005,99.0,99.0
14,14,0.008,0.0030000000000000005,0.006,99.0,99.0
15,15,0.007000000000000001,0.0030000000000000005,0.008,99.0,99.0
16,16,0.007000000000000001,0.0030000000000000005,0.01,99.0,99.0
17,17,0.011000000000000001,0.004,0.012999999999999998,99.0,99.0
18,18,0.010000000000000002,0.002,0.01,99.0,99.0
19,19,0.011000000000000001,0.002,0.009000000000000001,99.0,99.0
20,20,0.016,0.004,0.008,99.0,99.0
21,21,0.019000000000000003,0.004,0.011000000000000001,99.0,99.0
22,22,0.02,0.004,0.011000000000000001,99.0,99.0
23,23,0.026000000000000002,0.002,0.013999999999999999,99.0,99.0
24,24,0.037000000000000005,0.005,0.012,99.0,99.0
25,25,0.04,0.006000000000000001,0.008,99.0,99.0
26,26,0.040999999999999995,0.006000000000000001,0.012000000000000002,99.0,99.0
27,27,0.041999999999999996,0.004,0.013000000000000003,99.0,99.0
28,28,0.041999999999999996,0.006,0.015000000000000003,99.0,99.0
29,29,0.04299999999999999,0.0030000000000000005,0.015000000000000003,99.0,99.0
30,30,0.04299999999999999,0.0030000000000000005,0.014000000000000004,99.0,99.0
31,31,0.044,0.0030000000000000005,0.015,99.0,99.0
32,32,0.043,0.0,0.016,99.0,99.0
33,33,0.04499999999999999,0.001,0.019000000000000003,99.0,99.0
34,34,0.04799999999999999,0.001,0.017,99.0,99.0
35,35,0.05599999999999999,0.001,0.010000000000000002,99.0,99.0
36,36,0.055999999999999994,0.002,0.013000000000000003,99.0,99.0
37,37,0.063,0.0,0.014000000000000004,99.0,99.0
38,38,0.06699999999999999,0.001,0.014000000000000004,99.0,99.0
39,39,0.066,0.001,0.018000000000000002,99.0,99.0
40,40,0.071,0.0030000000000000005,0.018000000000000002,99.0,99.0
41,41,0.071,0.0030000000000000005,0.022000000000000002,99.0,99.0
42,42,0.07499999999999998,0.002,0.026000000000000002,99.0,99.0
43,43,0.075,0.002,0.037000000000000005,99.0,99.0
44,44,0.075,0.0030000000000000005,0.045,99.0,99.0
45,45,0.08500000000000002,0.004,0.043999999999999984,99.0,99.0
46,46,0.06899999999999999,0.0030000000000000005,0.038000000000000006,99.0,99.0
47,47,0.05999999999999999,0.001,0.04,99.0,99.0
48,48,0.06299999999999999,0.001,0.046,99.0,99.0
49,49,0.05799999999999999,0.001,0.04499999999999999,99.0,99.0
50,50,0.065,0.004,0.040999999999999995,99.0,99.0
51,51,0.06699999999999999,0.0030000000000000005,0.043,99.0,99.0
52,52,0.076,0.001,0.044000000000000004,99.0,99.0
53,53,0.088,0.0030000000000000005,0.051,99.0,99.0
54,54,0.11299999999999999,0.004,0.04799999999999999,99.0,99.0
55,55,0.127,0.007000000000000001,0.04999999999999999,99.0,99.0
56,56,0.12599999999999997,0.01,0.04899999999999999,99.0,99.0
57,57,0.122,0.015,0.046,99.0,99.0
58,58,0.12099999999999998,0.017,0.051,99.0,99.0
59,59,0.11499999999999998,0.009000000000000001,0.046,99.0,99.0
60,60,0.11299999999999999,0.01,0.041999999999999996,99.0,99.0
61,61,0.10699999999999997,0.008,0.035,99.0,99.0
62,62,0.10199999999999998,0.006,0.03200000000000001,99.0,99.0
63,63,0.09299999999999999,0.009000000000000001,0.035,99.0,99.0
64,64,0.08899999999999998,0.004,0.040999999999999995,99.0,99.0
65,65,0.09799999999999999,0.002,0.046,99.0,99.0
66,66,0.10099999999999999,0.0030000000000000005,0.04499999999999999,99.0,99.0
67,67,0.09899999999999996,0.002,0.04299999999999999,99.0,99.0
68,68,0.10099999999999999,0.002,0.04899999999999999,99.0,99.0
69,69,0.10699999999999997,0.004,0.04799999999999999,99.0,99.0
70,70,0.10499999999999998,0.002,0.05299999999999999,99.0,99.0
71,71,0.091,0.001,0.048999999999999995,99.0,99.0
72,72,0.092,0.0,0.048999999999999995,99.0,99.0
73,73,0.10199999999999998,0.0,0.043,99.0,99.0
74,74,0.11200000000000002,0.001,0.04,99.0,99.0
75,75,0.11899999999999998,0.0030000000000000005,0.04,99.0,99.0
76,76,0.125,0.0030000000000000005,0.039,99.0,99.0
77,77,0.129,0.004,0.039,99.0,99.0
78,78,0.122,0.005,0.036000000000000004,99.0,99.0
79,79,0.11199999999999999,0.002,0.034,99.0,99.0
80,80,0.10800000000000001,0.001,0.034,99.0,99.0
81,81,0.11399999999999999,0.004,0.026000000000000002,99.0,99.0
82,82,0.11299999999999999,0.0030000000000000005,0.025,99.0,99.0
83,83,0.121,0.004,0.024,99.0,99.0
84,84,0.11800000000000001,0.005,0.022000000000000002,99.0,99.0
85,85,0.117,0.0030000000000000005,0.024000000000000004,99.0,99.0
86,86,0.121,0.004,0.027000000000000003,99.0,99.0
87,87,0.128,0.006,0.03,99.0,99.0
88,88,0.11900000000000001,0.006000000000000001,0.037000000000000005,99.0,99.0
89,89,0.12200000000000001,0.007000000000000001,0.030000000000000006,99.0,99.0
