,ge,tc,tf,ln,dn
0,0,0.0,0.0,0.0,99.0
1,1,0.0,0.0,99.0,99.0
2,2,0.002,0.001,99.0,99.0
3,3,0.004,0.0030000000000000005,99.0,99.0
4,4,0.011000000000000001,0.006000000000000001,99.0,99.0
5,5,0.015,0.009000000000000001,99.0,99.0
6,6,0.015000000000000003,0.015000000000000003,99.0,99.0
7,7,0.014000000000000002,0.019000000000000003,99.0,99.0
8,8,0.007000000000000001,0.019000000000000003,99.0,99.0
9,9,0.009,0.014000000000000002,99.0,99.0
10,10,0.011000000000000001,0.017,99.0,99.0
11,11,0.013000000000000003,0.021,99.0,99.0
12,12,0.015000000000000003,0.022000000000000002,99.0,99.0
13,13,0.015,0.02,99.0,99.0
14,14,0.021,0.024000000000000004,99.0,99.0
15,15,0.017,0.019000000000000003,99.0,99.0
16,16,0.017,0.023000000000000003,99.0,99.0
17,17,0.020000000000000004,0.025,99.0,99.0
18,18,0.021000000000000005,0.023000000000000003,99.0,99.0
19,19,0.026000000000000002,0.017,99.0,99.0
20,20,0.031,0.025,99.0,99.0
21,21,0.032,0.024,99.0,99.0
22,22,0.029000000000000005,0.028000000000000004,99.0,99.0
23,23,0.034,0.029000000000000005,99.0,99.0
24,24,0.039,0.032,99.0,99.0
25,25,0.045,0.035,99.0,99.0
26,26,0.05199999999999999,0.03200000000000001,99.0,99.0
27,27,0.053000000000000005,0.033,99.0,99.0
28,28,0.046,0.037000000000000005,99.0,99.0
29,29,0.05299999999999999,0.046,99.0,99.0
30,30,0.056999999999999995,0.046,99.0,99.0
31,31,0.05899999999999998,0.04999999999999999,99.0,99.0
32,32,0.05899999999999998,0.048999999999999995,99.0,99.0
33,33,0.06899999999999999,0.051,99.0,99.0
34,34,0.07100000000000001,0.051,99.0,99.0
35,35,0.07799999999999999,0.05199999999999999,99.0,99.0
36,36,0.08899999999999998,0.05899999999999998,99.0,99.0
37,37,0.08699999999999998,0.06299999999999999,99.0,99.0
38,38,0.08299999999999999,0.06999999999999999,99.0,99.0
39,39,0.088,0.06499999999999999,99.0,99.0
40,40,0.102,0.07499999999999998,99.0,99.0
41,41,0.09499999999999999,0.06999999999999998,99.0,99.0
42,42,0.092,0.07599999999999998,99.0,99.0
43,43,0.08299999999999999,0.07799999999999999,99.0,99.0
44,44,0.071,0.08199999999999998,99.0,99.0
45,45,0.06999999999999999,0.08899999999999998,99.0,99.0
46,46,0.07100000000000001,0.091,99.0,99.0
47,47,0.056999999999999995,0.08499999999999998,99.0,99.0
48,48,0.064,0.08199999999999999,99.0,99.0
49,49,0.048999999999999995,0.079,99.0,99.0
50,50,0.041999999999999996,0.09099999999999998,99.0,99.0
51,51,0.04499999999999999,0.087,99.0,99.0
52,52,0.05299999999999999,0.081,99.0,99.0
53,53,0.053,0.075,99.0,99.0
54,54,0.055,0.06599999999999999,99.0,99.0
55,55,0.05299999999999999,0.066,99.0,99.0
56,56,0.05299999999999999,0.07199999999999998,99.0,99.0
57,57,0.05199999999999999,0.079,99.0,99.0
58,58,0.044999999999999984,0.081,99.0,99.0
59,59,0.04499999999999999,0.08199999999999998,99.0,99.0
60,60,0.05499999999999998,0.07699999999999999,99.0,99.0
61,61,0.06299999999999999,0.07999999999999999,99.0,99.0
62,62,0.06399999999999997,0.07699999999999997,99.0,99.0
63,63,0.06599999999999998,0.07999999999999999,99.0,99.0
64,64,0.06899999999999999,0.07899999999999999,99.0,99.0
65,65,0.06999999999999998,0.076,99.0,99.0
66,66,0.07299999999999998,0.06899999999999999,99.0,99.0
67,67,0.06899999999999999,0.07199999999999998,99.0,99.0
68,68,0.07399999999999998,0.06999999999999998,99.0,99.0
69,69,0.07499999999999998,0.06799999999999999,99.0,99.0
70,70,0.07799999999999999,0.06399999999999997,99.0,99.0
71,71,0.08099999999999997,0.06399999999999999,99.0,99.0
72,72,0.085,0.061999999999999986,99.0,99.0
