,ge,tc,tl,tf,ln,dn
0,0,0.0,0.0,0.0,99.0,0.0
1,1,0.0,0.0,0.0,99.0,0.0
2,2,0.002,0.001,0.002,99.0,0.0
3,3,0.002,0.0,0.002,99.0,0.0
4,4,0.004,0.0,0.002,99.0,0.0
5,5,0.004,0.002,0.0030000000000000005,99.0,0.0
6,6,0.004,0.004,0.002,99.0,0.0
7,7,0.006,0.006000000000000001,0.004,99.0,0.0
8,8,0.005,0.011000000000000001,0.001,99.0,0.0
9,9,0.004,0.015,0.002,99.0,0.0
10,10,0.004,0.014000000000000004,0.002,99.0,0.0
11,11,0.0030000000000000005,0.017,0.004,99.0,0.0
12,12,0.0030000000000000005,0.016,0.005,99.0,0.0
13,13,0.005,0.019000000000000003,0.0030000000000000005,99.0,0.0
14,14,0.007000000000000001,0.021,0.0,99.0,0.0
15,15,0.008,0.022000000000000002,0.0,99.0,0.0
16,16,0.01,0.022000000000000002,0.0,99.0,0.0
17,17,0.008,0.025,0.0,99.0,0.0
18,18,0.005,0.026000000000000002,0.0,99.0,0.0
19,19,0.004,0.033,0.002,99.0,0.0
20,20,0.004,0.03,0.004,99.0,0.0
21,21,0.0030000000000000005,0.032,0.006000000000000001,99.0,0.0
22,22,0.004,0.043,0.006,99.0,0.0
23,23,0.006000000000000001,0.043,0.006000000000000001,99.0,0.0
24,24,0.004,0.043,0.005,99.0,0.0
25,25,0.0030000000000000005,0.037000000000000005,0.006999999999999999,99.0,0.0
26,26,0.004,0.030000000000000006,0.007000000000000001,99.0,0.0
27,27,0.008,0.021,0.005,99.0,0.0
28,28,0.01,0.022000000000000002,0.0030000000000000005,99.0,0.0
29,29,0.01,0.017,0.001,99.0,0.0
30,30,0.009000000000000001,0.018,0.002,99.0,0.0
31,31,0.013000000000000003,0.022000000000000002,0.001,99.0,0.0
32,32,0.013000000000000001,0.025000000000000005,0.002,99.0,0.0
33,33,0.013000000000000001,0.023000000000000003,0.005,99.0,0.0
34,34,0.013000000000000001,0.029000000000000005,0.009000000000000001,99.0,0.0
35,35,0.013999999999999999,0.026000000000000002,0.006999999999999999,99.0,0.0
36,36,0.015,0.022000000000000002,0.009000000000000001,99.0,0.0
37,37,0.011000000000000001,0.025000000000000005,0.009000000000000001,99.0,0.0
38,38,0.009000000000000001,0.024000000000000004,0.010000000000000002,99.0,0.0
39,39,0.014000000000000002,0.024000000000000004,0.012000000000000002,99.0,0.0
40,40,0.009000000000000001,0.029000000000000005,0.011000000000000001,99.0,0.0
41,41,0.013000000000000001,0.027000000000000003,0.01,99.0,0.0
42,42,0.017,0.032,0.009000000000000001,99.0,0.0
43,43,0.021,0.026000000000000002,0.013000000000000001,99.0,0.0
44,44,0.024,0.02,0.011000000000000001,99.0,0.0
45,45,0.025000000000000005,0.015,0.011000000000000001,99.0,0.0
46,46,0.032,0.012000000000000002,0.012000000000000002,99.0,0.0
47,47,0.02,0.011000000000000001,0.017,99.0,0.0
48,48,0.028000000000000008,0.01,0.026000000000000002,99.0,0.0
49,49,0.029000000000000005,0.01,0.025,99.0,0.0
50,50,0.028999999999999998,0.008,0.04299999999999999,99.0,0.0
51,51,0.024000000000000004,0.009000000000000001,0.046,99.0,0.0
52,52,0.022000000000000002,0.009000000000000001,0.04799999999999999,99.0,0.0
53,53,0.022000000000000002,0.013000000000000003,0.040999999999999995,99.0,0.0
54,54,0.024000000000000004,0.012000000000000002,0.041999999999999996,99.0,0.0
55,55,0.026000000000000002,0.008,0.042,99.0,0.0
56,56,0.027000000000000007,0.006999999999999999,0.037000000000000005,99.0,0.0
57,57,0.028000000000000008,0.006,0.043,99.0,0.0
58,58,0.027999999999999997,0.004,0.040999999999999995,99.0,0.0
59,59,0.035,0.005,0.034,99.0,0.0
60,60,0.031,0.009000000000000001,0.03200000000000001,99.0,0.0
61,61,0.03400000000000001,0.009000000000000001,0.025,99.0,0.0
62,62,0.046,0.007000000000000001,0.027000000000000003,99.0,0.0
63,63,0.046,0.005,0.025,99.0,0.0
64,64,0.037000000000000005,0.006,0.032,99.0,0.0
65,65,0.040999999999999995,0.006000000000000001,0.033,99.0,0.0
66,66,0.034,0.008,0.033,99.0,0.0
67,67,0.03200000000000001,0.007000000000000001,0.037000000000000005,99.0,0.0
68,68,0.033,0.007000000000000001,0.033,99.0,0.0
69,69,0.026000000000000006,0.006000000000000001,0.033,99.0,0.0
70,70,0.029000000000000005,0.006000000000000001,0.04100000000000001,99.0,0.0
71,71,0.025,0.002,0.05,99.0,0.0
72,72,0.026000000000000002,0.0030000000000000005,0.053000000000000005,99.0,0.0
73,73,0.024000000000000004,0.002,0.051000000000000004,99.0,0.0
74,74,0.018000000000000002,0.002,0.051000000000000004,99.0,0.0
75,75,0.019000000000000003,0.0,0.049,99.0,0.0
76,76,0.02,0.001,0.047000000000000014,99.0,0.0
77,77,0.019000000000000003,0.001,0.051,99.0,0.0
78,78,0.018000000000000002,0.001,0.07200000000000001,99.0,0.0
79,79,0.024000000000000004,0.0,0.073,99.0,0.0
80,80,0.024000000000000004,0.0,0.087,99.0,0.0
81,81,0.026000000000000006,0.0,0.10599999999999998,99.0,0.0
82,82,0.028000000000000008,0.001,0.10099999999999999,99.0,0.0
83,83,0.031,0.002,0.10099999999999998,99.0,0.0
84,84,0.037000000000000005,0.004,0.09499999999999999,99.0,0.0
85,85,0.037000000000000005,0.007000000000000001,0.10300000000000001,99.0,0.0
86,86,0.041999999999999996,0.009,0.08499999999999998,99.0,0.0
87,87,0.040999999999999995,0.008,0.08899999999999998,99.0,0.0
88,88,0.042,0.009000000000000001,0.08599999999999998,99.0,0.0
89,89,0.043,0.011000000000000001,0.09799999999999999,99.0,0.0
90,90,0.036000000000000004,0.013000000000000001,0.07999999999999999,99.0,0.0
91,91,0.031000000000000007,0.013000000000000003,0.076,99.0,0.0
92,92,0.043999999999999984,0.007000000000000001,0.06799999999999999,99.0,0.0
93,93,0.046,0.012000000000000002,0.064,99.0,0.0
94,94,0.051,0.01,0.078,99.0,0.0
95,95,0.042,0.006999999999999999,0.07399999999999998,99.0,0.0
96,96,0.043999999999999984,0.009000000000000001,0.071,99.0,0.0
97,97,0.046,0.011000000000000001,0.071,99.0,0.0
98,98,0.04799999999999999,0.014000000000000002,0.06199999999999999,99.0,0.0
99,99,0.04999999999999999,0.01,0.056999999999999995,99.0,0.0
100,100,0.04,0.014000000000000002,0.053,99.0,0.0
101,101,0.04699999999999999,0.019000000000000003,0.05899999999999998,99.0,0.0
102,102,0.05299999999999999,0.022000000000000002,0.06899999999999999,99.0,0.0
103,103,0.05199999999999999,0.024,0.051,99.0,0.0
104,104,0.051,0.022000000000000002,0.054000000000000006,99.0,0.0
105,105,0.03900000000000001,0.026000000000000002,0.055999999999999994,99.0,0.0
106,106,0.040999999999999995,0.021,0.05,99.0,0.0
107,107,0.036000000000000004,0.018000000000000002,0.044000000000000004,99.0,0.0
108,108,0.037,0.025000000000000005,0.041999999999999996,99.0,0.0
109,109,0.034,0.025000000000000005,0.051,99.0,0.0
110,110,0.033,0.028000000000000004,0.03900000000000001,99.0,0.0
111,111,0.039,0.033,0.03900000000000001,99.0,0.0
112,112,0.044,0.035,0.036000000000000004,99.0,0.0
113,113,0.043999999999999984,0.040999999999999995,0.022000000000000002,99.0,0.0
114,114,0.046,0.038000000000000006,0.017,99.0,0.0
115,115,0.04799999999999999,0.043,0.019000000000000003,99.0,0.0
116,116,0.046,0.046,0.014000000000000002,99.0,0.0
117,117,0.04499999999999999,0.045999999999999985,0.008,99.0,0.0
118,118,0.051,0.044,0.009000000000000001,99.0,0.0
119,119,0.04999999999999999,0.04,0.015000000000000003,99.0,0.0
120,120,0.048999999999999995,0.038000000000000006,0.009000000000000001,99.0,0.0
121,121,0.05299999999999999,0.036000000000000004,0.009000000000000001,99.0,0.0
122,122,0.04899999999999999,0.031000000000000007,0.011000000000000001,99.0,0.0
123,123,0.04799999999999999,0.04299999999999999,0.005000000000000001,99.0,0.0
124,124,0.048,0.04,0.0030000000000000005,99.0,0.0
125,125,0.04799999999999999,0.041999999999999996,0.004,99.0,0.0
126,126,0.055999999999999994,0.04799999999999999,0.004,99.0,0.0
127,127,0.064,0.048999999999999995,0.0030000000000000005,99.0,0.0
128,128,0.061,0.05199999999999999,0.001,99.0,0.0
129,129,0.05899999999999998,0.051,0.001,99.0,0.0
130,130,0.05299999999999999,0.053999999999999986,0.001,99.0,0.0
131,131,0.04599999999999998,0.05499999999999998,0.0030000000000000005,99.0,0.0
132,132,0.043999999999999984,0.053999999999999986,0.002,99.0,0.0
133,133,0.037,0.05299999999999999,0.004,99.0,0.0
134,134,0.03900000000000001,0.05499999999999999,0.005,99.0,0.0
135,135,0.041999999999999996,0.053,0.009000000000000001,99.0,0.0
136,136,0.039,0.04999999999999998,0.01,99.0,0.0
137,137,0.043,0.048999999999999995,0.007000000000000001,99.0,0.0
138,138,0.038000000000000006,0.05299999999999999,0.009000000000000001,99.0,0.0
139,139,0.04299999999999999,0.055,0.013000000000000001,99.0,0.0
140,140,0.044,0.05199999999999999,0.014000000000000004,99.0,0.0
141,141,0.044000000000000004,0.04699999999999999,0.007000000000000001,99.0,0.0
142,142,0.041999999999999996,0.040999999999999995,0.009000000000000001,99.0,0.0
143,143,0.037,0.035,0.008,99.0,0.0
144,144,0.043999999999999984,0.038000000000000006,0.0030000000000000005,99.0,0.0
145,145,0.045,0.037000000000000005,0.007000000000000001,99.0,0.0
146,146,0.03900000000000001,0.040999999999999995,0.008,99.0,0.0
147,147,0.04299999999999999,0.045999999999999985,0.007000000000000001,99.0,0.0
148,148,0.04,0.05199999999999999,0.009000000000000001,99.0,0.0
149,149,0.035,0.051,0.009000000000000001,99.0,0.0
150,150,0.035,0.05299999999999999,0.006000000000000001,99.0,0.0
151,151,0.039,0.04699999999999999,0.007000000000000001,99.0,0.0
152,152,0.035,0.046,0.005,99.0,0.0
153,153,0.029000000000000005,0.05299999999999999,0.006,99.0,0.0
154,154,0.035,0.05199999999999999,0.006000000000000001,99.0,0.0
155,155,0.036000000000000004,0.05299999999999999,0.007000000000000001,99.0,0.0
156,156,0.031,0.05499999999999999,0.006999999999999999,99.0,0.0
157,157,0.031000000000000007,0.044,0.005,99.0,0.0
158,158,0.038000000000000006,0.037000000000000005,0.005,99.0,0.0
159,159,0.038000000000000006,0.036000000000000004,0.0030000000000000005,99.0,0.0
160,160,0.033,0.037000000000000005,0.001,99.0,0.0
161,161,0.034,0.034,0.001,99.0,0.0
162,162,0.03900000000000001,0.040999999999999995,0.001,99.0,0.0
163,163,0.04,0.04,0.001,99.0,0.0
164,164,0.038000000000000006,0.04,0.002,99.0,0.0
165,165,0.047,0.043,0.002,99.0,0.0
166,166,0.046,0.04,0.0030000000000000005,99.0,0.0
167,167,0.042,0.03900000000000001,0.0030000000000000005,99.0,0.0
168,168,0.04699999999999999,0.040999999999999995,0.0030000000000000005,99.0,0.0
169,169,0.051000000000000004,0.041999999999999996,0.0030000000000000005,99.0,0.0
170,170,0.05399999999999999,0.037000000000000005,0.006000000000000001,99.0,0.0
171,171,0.06,0.03900000000000001,0.008,99.0,0.0
172,172,0.060999999999999985,0.03,0.004,99.0,0.0
173,173,0.063,0.037000000000000005,0.006000000000000001,99.0,0.0
174,174,0.059999999999999984,0.034,0.005,99.0,0.0
175,175,0.055999999999999994,0.029000000000000005,0.005,99.0,0.0
176,176,0.059,0.027000000000000007,0.002,99.0,0.0
177,177,0.06199999999999999,0.033,0.002,99.0,0.0
178,178,0.07100000000000001,0.034,0.004,99.0,0.0
179,179,0.072,0.035,0.005,99.0,0.0
180,180,0.06899999999999999,0.035,0.004,99.0,0.0
181,181,0.073,0.037000000000000005,0.004,99.0,0.0
182,182,0.09099999999999998,0.034,0.008,99.0,0.0
183,183,0.09099999999999998,0.030000000000000006,0.006,99.0,0.0
184,184,0.09399999999999999,0.03900000000000001,0.006,99.0,0.0
185,185,0.10099999999999998,0.034,0.002,99.0,0.0
186,186,0.103,0.03200000000000001,0.004,99.0,0.0
187,187,0.10399999999999998,0.033,0.005,99.0,0.0
188,188,0.105,0.033,0.007000000000000001,99.0,0.0
189,189,0.10999999999999996,0.033,0.014000000000000004,99.0,0.0
190,190,0.11799999999999997,0.038000000000000006,0.016000000000000004,99.0,0.0
191,191,0.10999999999999999,0.04,0.016000000000000004,99.0,0.0
192,192,0.12099999999999998,0.045,0.021,99.0,0.0
193,193,0.12599999999999997,0.048,0.019,99.0,0.0
194,194,0.12999999999999998,0.044000000000000004,0.021,99.0,0.0
195,195,0.133,0.043,0.016,99.0,0.0
196,196,0.11699999999999999,0.04,0.015,99.0,0.0
197,197,0.11199999999999999,0.044000000000000004,0.012000000000000002,99.0,0.0
198,198,0.11599999999999999,0.036000000000000004,0.013000000000000001,99.0,0.0
199,199,0.115,0.035,0.012000000000000002,99.0,0.0
200,200,0.114,0.03400000000000001,0.009000000000000001,99.0,0.0
201,201,0.114,0.031,0.009000000000000001,99.0,0.0
202,202,0.102,0.04,0.006,99.0,0.0
203,203,0.10499999999999998,0.04,0.005,99.0,0.0
204,204,0.11299999999999998,0.03900000000000001,0.006000000000000001,99.0,0.0
205,205,0.11299999999999998,0.043,0.010000000000000002,99.0,0.0
206,206,0.12199999999999997,0.040999999999999995,0.009000000000000001,99.0,0.0
207,207,0.13799999999999998,0.038000000000000006,0.008,99.0,0.0
208,208,0.12699999999999995,0.047,0.006,99.0,0.0
209,209,0.13599999999999998,0.052000000000000005,0.001,99.0,0.0
210,210,0.13299999999999998,0.06,0.002,99.0,0.0
211,211,0.12999999999999998,0.05900000000000001,0.001,99.0,0.0
212,212,0.13099999999999998,0.062,0.0030000000000000005,99.0,0.0
213,213,0.11899999999999998,0.052000000000000005,0.002,99.0,0.0
214,214,0.128,0.05700000000000001,0.004,99.0,0.0
215,215,0.11600000000000002,0.077,0.006000000000000001,99.0,0.0
216,216,0.11199999999999999,0.07,0.009000000000000001,99.0,0.0
217,217,0.103,0.078,0.01,99.0,0.0
218,218,0.09499999999999999,0.08399999999999999,0.014000000000000002,99.0,0.0
219,219,0.081,0.08599999999999998,0.015,99.0,0.0
220,220,0.08199999999999999,0.08299999999999999,0.016,99.0,0.0
221,221,0.08899999999999998,0.08199999999999999,0.017,99.0,0.0
222,222,0.09299999999999999,0.08499999999999998,0.017,99.0,0.0
223,223,0.081,0.079,0.011000000000000001,99.0,0.0
224,224,0.07200000000000001,0.074,0.011000000000000001,99.0,0.0
225,225,0.064,0.07,0.011000000000000001,99.0,0.0
226,226,0.071,0.07400000000000001,0.009000000000000001,99.0,0.0
227,227,0.071,0.077,0.005,99.0,0.0
228,228,0.06699999999999999,0.07400000000000001,0.0030000000000000005,99.0,0.0
229,229,0.071,0.07600000000000001,0.0030000000000000005,99.0,0.0
230,230,0.071,0.08,0.005,99.0,0.0
231,231,0.068,0.08499999999999998,0.004,99.0,0.0
232,232,0.079,0.08999999999999998,0.001,99.0,0.0
233,233,0.08599999999999998,0.084,0.0030000000000000005,99.0,0.0
234,234,0.09299999999999997,0.08499999999999998,0.005,99.0,0.0
235,235,0.08399999999999999,0.08299999999999999,0.0,99.0,0.0
236,236,0.087,0.07600000000000001,0.0,99.0,0.0
237,237,0.07300000000000001,0.079,0.0,99.0,0.0
238,238,0.075,0.091,0.0,99.0,0.0
239,239,0.072,0.08099999999999997,0.001,99.0,0.0
240,240,0.06999999999999998,0.077,0.0,99.0,0.0
