,ge,tc,tf,ln,dn
0,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,99.0,0.0
2,2,0.0,0.0,99.0,0.0
3,3,0.0,0.0,99.0,0.0
4,4,0.0,0.001,99.0,0.0
5,5,0.002,0.0030000000000000005,99.0,0.0
6,6,0.002,0.002,99.0,0.0
7,7,0.0030000000000000005,0.0030000000000000005,99.0,0.0
8,8,0.007000000000000001,0.0030000000000000005,99.0,0.0
9,9,0.01,0.004,99.0,0.0
10,10,0.012000000000000002,0.005,99.0,0.0
11,11,0.017,0.004,99.0,0.0
12,12,0.018000000000000002,0.004,99.0,0.0
13,13,0.022000000000000002,0.0,99.0,0.0
14,14,0.03,0.0,99.0,0.0
15,15,0.035,0.0,99.0,0.0
16,16,0.038000000000000006,0.001,99.0,0.0
17,17,0.032,0.001,99.0,0.0
18,18,0.030000000000000006,0.002,99.0,0.0
19,19,0.03,0.002,99.0,0.0
20,20,0.033,0.0030000000000000005,99.0,0.0
21,21,0.031,0.005,99.0,0.0
22,22,0.03400000000000001,0.006000000000000001,99.0,0.0
23,23,0.041999999999999996,0.009000000000000001,99.0,0.0
24,24,0.04799999999999999,0.007000000000000001,99.0,0.0
25,25,0.046,0.006999999999999999,99.0,0.0
26,26,0.045999999999999985,0.012000000000000002,99.0,0.0
27,27,0.04799999999999999,0.009000000000000001,99.0,0.0
28,28,0.04799999999999999,0.011000000000000001,99.0,0.0
29,29,0.049,0.008,99.0,0.0
30,30,0.044000000000000004,0.006999999999999999,99.0,0.0
31,31,0.037000000000000005,0.011000000000000001,99.0,0.0
32,32,0.039,0.01,99.0,0.0
33,33,0.03900000000000001,0.014000000000000002,99.0,0.0
34,34,0.040999999999999995,0.016,99.0,0.0
35,35,0.038000000000000006,0.02,99.0,0.0
36,36,0.04100000000000001,0.017,99.0,0.0
37,37,0.039,0.013000000000000001,99.0,0.0
38,38,0.038000000000000006,0.017,99.0,0.0
39,39,0.036000000000000004,0.009000000000000001,99.0,0.0
40,40,0.040999999999999995,0.01,99.0,0.0
41,41,0.046,0.013000000000000003,99.0,0.0
42,42,0.037000000000000005,0.013000000000000001,99.0,0.0
43,43,0.034,0.008,99.0,0.0
44,44,0.027999999999999997,0.015,99.0,0.0
