,ge,tc,tl,tf,ln
0,0,0.001,0.001,0.001,99.0
1,1,0.002,0.002,0.001,99.0
2,2,0.005,0.002,0.002,99.0
3,3,0.009000000000000001,0.006000000000000001,0.0030000000000000005,99.0
4,4,0.007000000000000001,0.006000000000000001,0.006000000000000001,99.0
5,5,0.013000000000000003,0.009000000000000001,0.004,99.0
6,6,0.02,0.011000000000000001,0.007000000000000001,99.0
7,7,0.022000000000000002,0.013000000000000001,0.006,99.0
8,8,0.028000000000000004,0.013000000000000003,0.007000000000000001,99.0
9,9,0.033,0.015,0.006000000000000001,99.0
10,10,0.036,0.011000000000000001,0.006,99.0
11,11,0.040999999999999995,0.017,0.006999999999999999,99.0
12,12,0.037000000000000005,0.018000000000000002,0.01,99.0
13,13,0.038000000000000006,0.021,0.013000000000000001,99.0
14,14,0.040999999999999995,0.021,0.016,99.0
15,15,0.03900000000000001,0.015,0.02,99.0
16,16,0.039,0.02,0.018000000000000002,99.0
17,17,0.037000000000000005,0.013000000000000003,0.023,99.0
18,18,0.036000000000000004,0.012000000000000002,0.025,99.0
19,19,0.034,0.013000000000000003,0.033,99.0
20,20,0.03,0.01,0.032,99.0
21,21,0.033,0.009000000000000001,0.03200000000000001,99.0
22,22,0.032,0.005,0.035,99.0
23,23,0.03900000000000001,0.004,0.034,99.0
24,24,0.046,0.008,0.038000000000000006,99.0
25,25,0.05199999999999999,0.011000000000000001,0.03900000000000001,99.0
26,26,0.048999999999999995,0.013000000000000001,0.04,99.0
27,27,0.044,0.012000000000000002,0.04499999999999999,99.0
28,28,0.051,0.012,0.043999999999999984,99.0
29,29,0.060999999999999985,0.012000000000000002,0.04499999999999999,99.0
30,30,0.065,0.009000000000000001,0.04699999999999999,99.0
31,31,0.06999999999999998,0.013000000000000001,0.044000000000000004,99.0
32,32,0.072,0.018,0.037000000000000005,99.0
33,33,0.073,0.019000000000000003,0.039,99.0
34,34,0.071,0.011000000000000001,0.038,99.0
35,35,0.081,0.016,0.038,99.0
36,36,0.08999999999999998,0.02,0.043,99.0
37,37,0.08599999999999998,0.019000000000000003,0.044000000000000004,99.0
38,38,0.08499999999999998,0.029000000000000005,0.040999999999999995,99.0
39,39,0.07999999999999999,0.027000000000000003,0.039,99.0
40,40,0.08299999999999998,0.030000000000000006,0.044,99.0
41,41,0.077,0.035,0.047,99.0
42,42,0.08099999999999997,0.038000000000000006,0.048999999999999995,99.0
43,43,0.08299999999999998,0.035,0.040999999999999995,99.0
44,44,0.08099999999999997,0.035,0.041999999999999996,99.0
45,45,0.07999999999999999,0.039,0.038000000000000006,99.0
46,46,0.07599999999999998,0.044000000000000004,0.04999999999999998,99.0
47,47,0.085,0.04999999999999998,0.05199999999999999,99.0
48,48,0.096,0.050999999999999976,0.04999999999999999,99.0
49,49,0.09499999999999999,0.04999999999999998,0.05799999999999999,99.0
50,50,0.09899999999999999,0.050999999999999976,0.05199999999999999,99.0
51,51,0.09899999999999999,0.04899999999999999,0.04699999999999999,99.0
52,52,0.09899999999999999,0.05099999999999999,0.04,99.0
53,53,0.10899999999999999,0.048999999999999995,0.045,99.0
54,54,0.107,0.051,0.045,99.0
55,55,0.10299999999999997,0.05199999999999999,0.039,99.0
56,56,0.10099999999999999,0.04699999999999999,0.03900000000000001,99.0
57,57,0.10099999999999998,0.04799999999999999,0.035,99.0
58,58,0.10499999999999998,0.04999999999999998,0.04,99.0
59,59,0.105,0.05299999999999999,0.033,99.0
60,60,0.10599999999999998,0.05899999999999998,0.035,99.0
61,61,0.109,0.06399999999999999,0.023000000000000003,99.0
62,62,0.11499999999999998,0.059999999999999984,0.017,99.0
63,63,0.121,0.06799999999999999,0.014000000000000002,99.0
64,64,0.12199999999999997,0.07099999999999998,0.014000000000000002,99.0
65,65,0.12299999999999998,0.072,0.013000000000000001,99.0
66,66,0.129,0.071,0.017,99.0
67,67,0.133,0.07799999999999999,0.02,99.0
68,68,0.13399999999999998,0.07799999999999999,0.02,99.0
69,69,0.14100000000000001,0.07599999999999998,0.030000000000000006,99.0
70,70,0.142,0.07499999999999998,0.033,99.0
71,71,0.15699999999999997,0.071,0.039,99.0
72,72,0.16499999999999995,0.07299999999999998,0.035,99.0
73,73,0.16599999999999998,0.06599999999999999,0.034,99.0
74,74,0.17,0.06699999999999999,0.031000000000000007,99.0
75,75,0.17400000000000002,0.05899999999999998,0.032,99.0
76,76,0.17299999999999996,0.061,0.032,99.0
77,77,0.185,0.06799999999999999,0.034,99.0
78,78,0.179,0.06999999999999999,0.03,99.0
79,79,0.18299999999999997,0.07399999999999998,0.02,99.0
80,80,0.18600000000000003,0.08299999999999999,0.018000000000000002,99.0
81,81,0.19400000000000006,0.08899999999999998,0.019,99.0
82,82,0.19799999999999998,0.08099999999999997,0.021000000000000005,99.0
83,83,0.20200000000000004,0.08099999999999997,0.013000000000000001,99.0
84,84,0.2,0.07999999999999999,0.013000000000000001,99.0
85,85,0.19799999999999998,0.08399999999999999,0.014000000000000002,99.0
86,86,0.19199999999999995,0.07599999999999998,0.015,99.0
87,87,0.19199999999999995,0.07899999999999999,0.02,99.0
88,88,0.18899999999999997,0.07799999999999999,0.019000000000000003,99.0
89,89,0.193,0.076,0.027000000000000003,99.0
90,90,0.19300000000000003,0.077,0.024000000000000004,99.0
91,91,0.18900000000000006,0.08,0.029000000000000005,99.0
92,92,0.192,0.07799999999999999,0.030000000000000006,99.0
93,93,0.19899999999999998,0.07099999999999998,0.040999999999999995,99.0
94,94,0.19899999999999998,0.075,0.04699999999999999,99.0
95,95,0.19399999999999998,0.07499999999999998,0.05199999999999999,99.0
96,96,0.2,0.077,0.05899999999999998,99.0
97,97,0.20000000000000004,0.073,0.056999999999999995,99.0
98,98,0.19699999999999998,0.077,0.061,99.0
99,99,0.201,0.07899999999999999,0.063,99.0
100,100,0.20600000000000002,0.077,0.06299999999999999,99.0
101,101,0.21100000000000005,0.077,0.06699999999999999,99.0
102,102,0.22,0.077,0.06699999999999999,99.0
103,103,0.21900000000000003,0.071,0.06399999999999999,99.0
104,104,0.21600000000000003,0.074,0.06399999999999999,99.0
105,105,0.226,0.071,0.06899999999999999,99.0
106,106,0.234,0.06199999999999997,0.06699999999999999,99.0
107,107,0.24200000000000002,0.05999999999999999,0.061000000000000006,99.0
108,108,0.25000000000000006,0.05899999999999998,0.051999999999999984,99.0
109,109,0.25,0.05799999999999999,0.05499999999999998,99.0
110,110,0.25300000000000006,0.051,0.05299999999999999,99.0
111,111,0.256,0.05499999999999999,0.04799999999999999,99.0
112,112,0.265,0.05799999999999999,0.044000000000000004,99.0
113,113,0.269,0.053999999999999986,0.040999999999999995,99.0
114,114,0.273,0.04899999999999999,0.035,99.0
115,115,0.28,0.04799999999999999,0.034,99.0
116,116,0.276,0.04999999999999999,0.031000000000000007,99.0
117,117,0.27699999999999997,0.05599999999999999,0.032,99.0
118,118,0.28900000000000003,0.05099999999999999,0.028000000000000004,99.0
119,119,0.29500000000000004,0.04999999999999999,0.03,99.0
120,120,0.301,0.04799999999999999,0.032,99.0
121,121,0.308,0.04999999999999999,0.036000000000000004,99.0
122,122,0.325,0.04299999999999999,0.04,99.0
123,123,0.3329999999999999,0.04299999999999999,0.05199999999999999,99.0
124,124,0.34399999999999986,0.04699999999999999,0.05,99.0
125,125,0.3499999999999999,0.045999999999999985,0.05799999999999999,99.0
126,126,0.352,0.048,0.06299999999999999,99.0
127,127,0.34199999999999997,0.052000000000000005,0.05799999999999999,99.0
128,128,0.33199999999999996,0.05099999999999999,0.05799999999999999,99.0
129,129,0.32599999999999996,0.05499999999999999,0.06399999999999999,99.0
130,130,0.3349999999999999,0.055,0.06099999999999998,99.0
131,131,0.32799999999999996,0.04999999999999999,0.059999999999999984,99.0
132,132,0.324,0.051,0.05599999999999999,99.0
133,133,0.33,0.04299999999999999,0.053999999999999986,99.0
134,134,0.341,0.04799999999999999,0.04,99.0
135,135,0.36300000000000004,0.050999999999999976,0.040999999999999995,99.0
136,136,0.37200000000000005,0.039,0.035,99.0
137,137,0.3870000000000001,0.037000000000000005,0.031000000000000007,99.0
138,138,0.39000000000000007,0.04,0.034,99.0
139,139,0.3950000000000001,0.040999999999999995,0.033,99.0
140,140,0.405,0.036000000000000004,0.034,99.0
141,141,0.41100000000000003,0.030999999999999996,0.034,99.0
142,142,0.42599999999999993,0.029000000000000005,0.035,99.0
143,143,0.445,0.033,0.032,99.0
144,144,0.45,0.038000000000000006,0.028000000000000004,99.0
145,145,0.456,0.046,0.026000000000000002,99.0
146,146,0.461,0.03200000000000001,0.026000000000000002,99.0
147,147,0.48100000000000004,0.031000000000000007,0.026000000000000002,60.0
148,148,0.48699999999999993,0.03300000000000001,0.027999999999999997,99.0
149,149,0.49300000000000005,0.03200000000000001,0.026000000000000002,61.54
150,150,0.499,0.02,0.023000000000000003,62.78
151,151,0.49900000000000005,0.025,0.017,99.0
152,152,0.49699999999999994,0.027000000000000003,0.014000000000000002,99.0
153,153,0.494,0.023,0.012000000000000002,99.0
154,154,0.49300000000000005,0.03,0.009000000000000001,99.0
155,155,0.504,0.028000000000000004,0.012,99.0
156,156,0.509,0.022000000000000002,0.014000000000000002,99.0
157,157,0.516,0.019000000000000003,0.016,99.0
158,158,0.519,0.01,0.013000000000000001,82.8
159,159,0.53,0.008,0.015,99.0
160,160,0.525,0.008,0.012000000000000002,92.8
161,161,0.5209999999999999,0.006000000000000001,0.012000000000000002,92.66
162,162,0.5219999999999999,0.004,0.013000000000000001,95.0
163,163,0.525,0.005,0.018000000000000002,95.06
164,164,0.529,0.006,0.015,99.0
165,165,0.542,0.004,0.019000000000000003,99.0
166,166,0.567,0.005,0.022000000000000002,95.92
167,167,0.5709999999999998,0.004,0.022000000000000002,89.96
168,168,0.574,0.004,0.027000000000000007,91.2
