,ge,tc,tl,tf,ln
0,0,0.0,0.001,0.001,99.0
1,1,0.001,0.001,0.002,99.0
2,2,0.001,0.002,0.001,99.0
3,3,0.0030000000000000005,0.004,0.001,99.0
4,4,0.006,0.006000000000000001,0.002,99.0
5,5,0.011000000000000001,0.004,0.002,99.0
6,6,0.011000000000000001,0.004,0.001,99.0
7,7,0.014000000000000002,0.005,0.002,99.0
8,8,0.021,0.008,0.002,99.0
9,9,0.031,0.015,0.002,99.0
10,10,0.04699999999999999,0.016,0.001,99.0
11,11,0.05499999999999998,0.016,0.001,99.0
12,12,0.06799999999999998,0.016,0.001,99.0
13,13,0.08699999999999998,0.021,0.0030000000000000005,99.0
14,14,0.09199999999999997,0.018000000000000002,0.006000000000000001,99.0
15,15,0.10299999999999997,0.017,0.009000000000000001,99.0
16,16,0.11099999999999997,0.013999999999999999,0.022000000000000002,99.0
17,17,0.10799999999999998,0.017,0.021,58.18
18,18,0.118,0.019000000000000003,0.021,59.5
19,19,0.12,0.02,0.021,51.24
20,20,0.118,0.018000000000000002,0.021,51.0
21,21,0.11899999999999998,0.018000000000000002,0.021,52.28
22,22,0.12100000000000001,0.016,0.022000000000000002,52.08
23,23,0.12200000000000001,0.012000000000000002,0.022000000000000002,53.62
24,24,0.12399999999999999,0.013999999999999999,0.023000000000000003,60.18
25,25,0.125,0.011000000000000001,0.023000000000000003,51.94
26,26,0.125,0.009000000000000001,0.024000000000000004,54.1
27,27,0.12300000000000001,0.009000000000000001,0.024000000000000004,54.52
28,28,0.12299999999999998,0.008,0.025000000000000005,54.82
29,29,0.125,0.009000000000000001,0.028000000000000004,54.6
30,30,0.125,0.008,0.027000000000000003,51.98
31,31,0.122,0.008,0.028000000000000004,54.02
32,32,0.127,0.005,0.030000000000000006,60.12
33,33,0.127,0.004,0.031,49.7
34,34,0.13,0.004,0.031,48.3
35,35,0.13,0.004,0.031,48.3
36,36,0.12899999999999998,0.004,0.031,48.3
37,37,0.132,0.004,0.031,48.3
38,38,0.12899999999999998,0.005,0.032,48.3
39,39,0.127,0.005,0.033,46.92
40,40,0.128,0.005,0.033,45.56
41,41,0.124,0.005,0.034,45.56
42,42,0.12399999999999999,0.005,0.034,44.22
43,43,0.131,0.008,0.036000000000000004,44.22
44,44,0.12999999999999998,0.009000000000000001,0.037,41.0
45,45,0.12899999999999998,0.009000000000000001,0.037,39.14
46,46,0.127,0.009000000000000001,0.038000000000000006,39.16
47,47,0.125,0.009000000000000001,0.039,39.62
48,48,0.12499999999999999,0.01,0.039,39.06
49,49,0.126,0.009000000000000001,0.04,52.48
50,50,0.12899999999999998,0.009000000000000001,0.04,37.82
51,51,0.127,0.010000000000000002,0.040999999999999995,37.82
52,52,0.126,0.013000000000000003,0.040999999999999995,35.88
53,53,0.126,0.015,0.040999999999999995,34.3
54,54,0.124,0.011000000000000001,0.041999999999999996,33.18
55,55,0.121,0.013000000000000003,0.041999999999999996,50.22
56,56,0.122,0.013999999999999999,0.044,49.02
57,57,0.137,0.013000000000000003,0.06299999999999999,99.0
58,58,0.139,0.014000000000000004,0.06299999999999999,12.88
59,59,0.139,0.014000000000000002,0.06299999999999999,12.56
60,60,0.134,0.012000000000000002,0.06399999999999999,52.14
61,61,0.14600000000000002,0.01,0.07299999999999997,99.0
62,62,0.146,0.009000000000000001,0.07299999999999997,7.58
63,63,0.149,0.009000000000000001,0.07299999999999997,7.9
64,64,0.14700000000000002,0.009000000000000001,0.07199999999999998,7.86
65,65,0.145,0.010000000000000002,0.07199999999999998,8.36
66,66,0.15,0.010000000000000002,0.07199999999999998,9.06
67,67,0.14800000000000002,0.009000000000000001,0.073,8.92
68,68,0.149,0.009000000000000001,0.073,9.3
69,69,0.15099999999999997,0.009000000000000001,0.073,9.3
70,70,0.155,0.009000000000000001,0.08099999999999997,99.0
71,71,0.16700000000000007,0.01,0.091,99.0
72,72,0.19900000000000007,0.013999999999999999,0.09999999999999998,99.0
73,73,0.20100000000000004,0.013999999999999999,0.09899999999999999,0.2
74,74,0.20200000000000007,0.013999999999999999,0.09899999999999999,0.42
75,75,0.20200000000000007,0.013999999999999999,0.09899999999999999,0.42
76,76,0.20400000000000001,0.015,0.09899999999999999,0.56
77,77,0.20300000000000004,0.015,0.09899999999999999,0.5
78,78,0.20100000000000004,0.013999999999999999,0.09999999999999998,0.52
79,79,0.20200000000000007,0.015,0.09899999999999999,0.56
80,80,0.20100000000000004,0.016,0.09899999999999999,0.64
81,81,0.20100000000000004,0.017,0.09999999999999998,0.78
82,82,0.2020000000000001,0.017,0.10099999999999998,0.74
83,83,0.20700000000000007,0.016,0.1,0.76
84,84,0.20800000000000007,0.017,0.10099999999999999,1.04
85,85,0.20700000000000007,0.015,0.10099999999999999,0.9
86,86,0.20800000000000007,0.015,0.10099999999999999,1.1
