,ge,tc,tf,ln
0,0,0.0,0.0,99.0
1,1,0.0,0.0,99.0
2,2,0.0,0.0,99.0
3,3,0.002,0.0030000000000000005,99.0
4,4,0.002,0.001,99.0
5,5,0.005,0.002,99.0
6,6,0.008,0.0,99.0
7,7,0.011000000000000001,0.0,99.0
8,8,0.02,0.0,99.0
9,9,0.032,0.002,99.0
10,10,0.04,0.004,99.0
11,11,0.045,0.005,99.0
12,12,0.05899999999999998,0.010000000000000002,99.0
13,13,0.077,0.01,99.0
14,14,0.08999999999999998,0.012000000000000002,99.0
15,15,0.09399999999999999,0.023,99.0
16,16,0.09999999999999998,0.031,99.0
17,17,0.10399999999999998,0.033,46.92
18,18,0.10099999999999998,0.032,44.22
19,19,0.10399999999999998,0.033,56.12
20,20,0.10499999999999998,0.033,44.22
21,21,0.10499999999999998,0.033,44.22
22,22,0.105,0.033,44.22
23,23,0.10799999999999998,0.034,44.22
24,24,0.11099999999999997,0.034,42.9
25,25,0.11,0.035,42.9
26,26,0.10799999999999998,0.036000000000000004,54.2
27,27,0.10899999999999999,0.036000000000000004,40.32
28,28,0.107,0.036000000000000004,40.32
29,29,0.106,0.037000000000000005,40.32
30,30,0.106,0.038,40.32
31,31,0.10399999999999998,0.038,40.32
32,32,0.10399999999999998,0.038000000000000006,53.64
33,33,0.10499999999999998,0.039,40.32
34,34,0.103,0.04,39.06
35,35,0.102,0.04,37.82
36,36,0.10800000000000001,0.043,52.64
37,37,0.107,0.041999999999999996,36.6
38,38,0.107,0.041999999999999996,37.82
39,39,0.107,0.041999999999999996,37.82
40,40,0.10699999999999997,0.040999999999999995,52.64
41,41,0.105,0.044000000000000004,52.64
42,42,0.106,0.044000000000000004,36.6
43,43,0.10399999999999998,0.044000000000000004,36.6
44,44,0.106,0.045,36.6
45,45,0.107,0.046,36.6
46,46,0.10899999999999999,0.04699999999999999,35.4
47,47,0.10699999999999997,0.04699999999999999,34.22
48,48,0.106,0.04699999999999999,34.22
49,49,0.10999999999999999,0.043999999999999984,51.44
50,50,0.10799999999999998,0.043999999999999984,35.4
51,51,0.10799999999999998,0.043999999999999984,35.4
52,52,0.10799999999999998,0.043999999999999984,35.4
53,53,0.10699999999999997,0.043999999999999984,35.4
54,54,0.10699999999999997,0.045,51.8
55,55,0.10699999999999997,0.045,34.22
56,56,0.10799999999999998,0.045,34.22
57,57,0.10799999999999998,0.045,34.22
58,58,0.10799999999999998,0.045,34.22
59,59,0.10699999999999997,0.046000000000000006,34.22
60,60,0.106,0.04499999999999999,51.12
61,61,0.10699999999999997,0.045999999999999985,33.06
62,62,0.10499999999999998,0.045999999999999985,31.92
63,63,0.11,0.04699999999999999,50.84
64,64,0.11,0.04699999999999999,30.8
65,65,0.10899999999999999,0.04699999999999999,30.8
66,66,0.10899999999999999,0.048,30.8
67,67,0.10800000000000001,0.048,30.8
68,68,0.111,0.04699999999999999,50.6
69,69,0.118,0.04799999999999999,30.8
70,70,0.11899999999999998,0.04699999999999999,30.8
71,71,0.122,0.04799999999999999,31.92
72,72,0.12599999999999997,0.04699999999999999,50.6
73,73,0.124,0.04699999999999999,29.7
74,74,0.11900000000000001,0.04699999999999999,29.7
75,75,0.11800000000000001,0.04799999999999999,29.7
76,76,0.11699999999999999,0.04799999999999999,28.62
77,77,0.11699999999999999,0.04799999999999999,28.62
78,78,0.11699999999999999,0.05,28.62
79,79,0.11299999999999999,0.05,28.62
80,80,0.113,0.051,28.62
81,81,0.11599999999999998,0.051,27.56
82,82,0.115,0.05199999999999999,27.56
83,83,0.11,0.051,27.56
84,84,0.10899999999999999,0.051,50.4
85,85,0.10899999999999999,0.051,28.62
86,86,0.10899999999999999,0.051,28.62
87,87,0.10899999999999999,0.05199999999999999,28.62
88,88,0.11299999999999999,0.056999999999999995,50.12
89,89,0.11699999999999999,0.056999999999999995,26.52
90,90,0.11800000000000001,0.05799999999999999,26.52
91,91,0.11699999999999999,0.055,25.5
92,92,0.128,0.06999999999999999,99.0
93,93,0.124,0.10100000000000002,99.0
94,94,0.127,0.10099999999999999,2.72
95,95,0.14500000000000002,0.099,99.0
96,96,0.14900000000000002,0.099,3.06
97,97,0.15100000000000002,0.10099999999999999,3.06
98,98,0.15500000000000003,0.10099999999999999,3.06
99,99,0.16100000000000006,0.10300000000000001,3.06
100,100,0.16100000000000006,0.10200000000000001,3.06
101,101,0.15300000000000002,0.11800000000000001,99.0
102,102,0.16100000000000006,0.114,99.0
103,103,0.17500000000000004,0.114,99.0
104,104,0.17500000000000004,0.115,0.42
105,105,0.17400000000000004,0.11599999999999999,0.42
106,106,0.17500000000000004,0.11599999999999999,0.42
107,107,0.17600000000000005,0.11599999999999999,0.42
108,108,0.17700000000000007,0.11699999999999999,0.42
109,109,0.17700000000000007,0.11699999999999999,0.42
110,110,0.17700000000000007,0.11699999999999999,0.42
111,111,0.17600000000000005,0.11599999999999999,0.42
112,112,0.21400000000000005,0.11499999999999998,99.0
113,113,0.21400000000000005,0.11599999999999999,0.72
114,114,0.21600000000000003,0.118,0.72
115,115,0.21300000000000005,0.11900000000000001,0.56
116,116,0.21400000000000002,0.12,0.56
117,117,0.21600000000000003,0.12,0.56
118,118,0.21700000000000003,0.121,0.56
119,119,0.21700000000000003,0.12299999999999998,0.56
120,120,0.21600000000000003,0.122,0.72
121,121,0.215,0.12299999999999998,0.9
122,122,0.21300000000000005,0.12200000000000001,0.9
123,123,0.21300000000000005,0.12200000000000001,1.1
124,124,0.215,0.12299999999999998,1.1
125,125,0.21400000000000005,0.122,1.1
126,126,0.21400000000000005,0.122,1.1
127,127,0.21300000000000005,0.121,1.1
128,128,0.21500000000000002,0.121,1.32
129,129,0.21600000000000003,0.121,1.32
130,130,0.21400000000000005,0.121,1.32
131,131,0.21400000000000005,0.121,1.32
132,132,0.21400000000000005,0.121,1.32
133,133,0.21400000000000005,0.121,1.32
134,134,0.21500000000000002,0.12,1.32
135,135,0.215,0.11900000000000001,1.56
136,136,0.19900000000000007,0.129,76.64
137,137,0.21700000000000003,0.14400000000000002,99.0
138,138,0.22200000000000003,0.149,99.0
139,139,0.22100000000000006,0.148,0.0
140,140,0.221,0.14800000000000002,0.0
141,141,0.21800000000000005,0.14800000000000002,0.06
142,142,0.21900000000000006,0.14700000000000002,0.06
143,143,0.21900000000000006,0.14700000000000002,0.06
144,144,0.21800000000000005,0.14800000000000002,0.06
145,145,0.21700000000000003,0.14700000000000002,0.06
146,146,0.21600000000000003,0.14800000000000002,0.06
147,147,0.21700000000000003,0.14900000000000002,0.06
148,148,0.21700000000000003,0.14900000000000002,0.06
149,149,0.21700000000000003,0.14900000000000002,0.06
