,ge,tc,tl,ln
0,0,0.0,0.001,99.0
1,1,0.001,0.001,99.0
2,2,0.002,0.0030000000000000005,99.0
3,3,0.002,0.0030000000000000005,99.0
4,4,0.001,0.0030000000000000005,99.0
5,5,0.002,0.0030000000000000005,99.0
6,6,0.005,0.005,98.96
7,7,0.0030000000000000005,0.004,99.0
8,8,0.005,0.008,99.0
9,9,0.005,0.008,99.0
10,10,0.005,0.006999999999999999,99.0
11,11,0.006000000000000001,0.009000000000000001,99.0
12,12,0.005,0.009000000000000001,99.0
13,13,0.005,0.009000000000000001,99.0
14,14,0.007000000000000001,0.006,99.0
15,15,0.005,0.008,98.98
16,16,0.005,0.005,99.0
17,17,0.0030000000000000005,0.005,99.0
18,18,0.002,0.005,99.0
19,19,0.001,0.006000000000000001,99.0
20,20,0.005,0.006999999999999999,99.0
21,21,0.006000000000000001,0.006,99.0
22,22,0.009000000000000001,0.0030000000000000005,99.0
23,23,0.004,0.002,99.0
24,24,0.005,0.002,99.0
25,25,0.008,0.006000000000000001,99.0
26,26,0.009000000000000001,0.007000000000000001,98.98
27,27,0.011000000000000001,0.002,98.94
28,28,0.009000000000000001,0.002,99.0
29,29,0.012000000000000002,0.004,99.0
30,30,0.012,0.004,98.98
31,31,0.008,0.005,99.0
32,32,0.007000000000000001,0.006000000000000001,99.0
33,33,0.008,0.005,98.96
34,34,0.007000000000000001,0.006000000000000001,98.96
35,35,0.01,0.001,98.92
36,36,0.014000000000000004,0.001,98.98
37,37,0.008,0.001,99.0
38,38,0.009000000000000001,0.0,99.0
39,39,0.009000000000000001,0.0,99.0
40,40,0.012,0.0,99.0
41,41,0.018000000000000002,0.002,99.0
42,42,0.012000000000000002,0.002,98.98
43,43,0.009000000000000001,0.004,99.0
44,44,0.008,0.005,99.0
45,45,0.008,0.005,98.98
46,46,0.01,0.006999999999999999,99.0
47,47,0.01,0.005,98.94
48,48,0.008,0.005,98.98
49,49,0.01,0.005,99.0
50,50,0.013000000000000001,0.005,98.98
51,51,0.013000000000000003,0.006000000000000001,99.0
52,52,0.017,0.009000000000000001,98.92
53,53,0.020000000000000004,0.013999999999999999,99.0
54,54,0.019000000000000003,0.013000000000000003,98.94
55,55,0.025000000000000005,0.016,98.9
56,56,0.026000000000000002,0.02,98.78
57,57,0.031,0.014000000000000004,98.8
58,58,0.03900000000000001,0.009000000000000001,98.74
59,59,0.04,0.011000000000000001,98.9
60,60,0.040999999999999995,0.012000000000000002,98.74
61,61,0.04,0.013000000000000003,98.92
62,62,0.040999999999999995,0.013000000000000003,98.64
63,63,0.046,0.012000000000000002,98.9
64,64,0.04799999999999999,0.013000000000000003,98.76
65,65,0.05,0.013000000000000001,98.8
66,66,0.053999999999999986,0.014000000000000002,98.64
67,67,0.05599999999999999,0.017,98.76
68,68,0.053999999999999986,0.016,98.84
69,69,0.05799999999999999,0.018000000000000002,98.74
70,70,0.055999999999999994,0.016,98.56
71,71,0.055,0.016,98.62
72,72,0.056999999999999995,0.014000000000000002,98.52
73,73,0.059,0.015,98.74
74,74,0.06199999999999999,0.011000000000000001,98.62
75,75,0.06599999999999999,0.012000000000000002,98.96
76,76,0.073,0.018000000000000002,98.72
77,77,0.071,0.012000000000000002,98.64
78,78,0.07799999999999999,0.009000000000000001,98.68
79,79,0.07599999999999998,0.012000000000000002,98.54
80,80,0.08099999999999997,0.012,98.72
81,81,0.08699999999999998,0.015,98.52
82,82,0.08499999999999998,0.014000000000000002,98.68
83,83,0.08199999999999999,0.012000000000000002,98.64
84,84,0.08199999999999998,0.015000000000000003,98.52
85,85,0.08499999999999996,0.014000000000000002,98.46
86,86,0.08999999999999997,0.013000000000000001,98.74
87,87,0.09099999999999998,0.013999999999999999,98.62
88,88,0.09599999999999997,0.013999999999999999,98.8
89,89,0.09499999999999999,0.013999999999999999,98.4
90,90,0.09599999999999997,0.012,98.7
91,91,0.09499999999999996,0.014000000000000002,98.68
92,92,0.09399999999999999,0.016,98.5
93,93,0.09199999999999997,0.019000000000000003,98.58
94,94,0.09099999999999998,0.013000000000000001,98.66
95,95,0.09299999999999997,0.008,98.42
96,96,0.09399999999999999,0.006,98.62
97,97,0.09799999999999999,0.006000000000000001,98.84
98,98,0.096,0.004,98.86
99,99,0.09999999999999998,0.007000000000000001,98.8
100,100,0.10199999999999998,0.011000000000000001,98.7
101,101,0.10199999999999998,0.011000000000000001,98.54
102,102,0.106,0.016,98.9
103,103,0.10799999999999998,0.010000000000000002,98.62
104,104,0.10599999999999998,0.01,98.62
105,105,0.10799999999999998,0.01,98.66
106,106,0.11899999999999998,0.009000000000000001,98.74
107,107,0.11599999999999999,0.011000000000000001,98.5
108,108,0.11399999999999999,0.011000000000000001,98.48
109,109,0.111,0.014000000000000002,98.7
110,110,0.11200000000000002,0.022000000000000002,98.68
