,tr,ge,tc,tl,tf,ln
0,0,0,0.4,0.8,0.4,2.0
1,0,0,0.7000000000000001,1.1,0.9,3.0
2,0,0,0.1,1.1,0.9,2.0
3,0,0,0.9,1.1,0.9,1.0
4,0,1,0.1,1.1,0.9,1.0
5,0,1,0.1,1.1,0.9,1.0
6,0,1,0.1,1.1,0.9,2.0
7,0,1,0.9,1.1,0.9,0.0
8,0,2,0.1,1.1,0.9,0.0
9,0,2,0.1,1.1,0.9,0.0
10,0,2,0.1,1.1,0.9,0.0
11,0,2,0.9,1.1,0.9,0.0
12,1,0,0.4,0.5,1.1,3.0
13,1,0,0.4,0.5,1.1,3.0
14,1,0,0.4,0.5,1.1,3.0
15,1,0,0.0,0.0,0.5,3.0
16,1,1,0.4,0.5,1.1,3.0
17,1,1,0.0,0.0,0.5,3.0
18,1,1,0.4,0.0,1.1,3.0
19,1,1,0.4,0.5,1.1,3.0
20,1,2,0.4,0.5,1.1,3.0
21,1,2,0.4,0.5,1.1,3.0
22,1,2,0.4,0.0,1.1,3.0
23,1,2,0.4,0.5,0.5,3.0
